Model,RMSE,R2
SVR,0.9403494535711412,0.39201305061833047
Random Forest,0.9695231194641029,0.35370314332448693
XGBoost,1.0375610065222893,0.2598103849007657
Ridge,1.1017371101270128,0.16541291404000902
